   261	1 2.929748 680.538690 235.838988
   262	1 2.932710 723.358696 88.915424
   263	1 2.936036 735.114863 347.291147
   264	1 2.938977 668.993333 375.757257
   265	1 2.938977 669.142873 370.036715
   266	1 2.939642 608.790825 321.296877
   267	1 2.940760 734.960498 154.748934
   268	1 2.942052 710.643014 138.475166
   269	1 2.947987 686.669594 162.402404
   270	1 2.949952 699.103702 275.718745
   271	1 2.950000 746.930496 245.261081
   272	1 2.950183 632.772533 171.305673
   273	1 2.958389 668.932038 181.337835
   274	1 2.958446 609.067001 376.698585
   275	1 2.958636 728.523580 91.784270
   276	1 2.960535 626.905213 358.007867
   277	1 2.960535 627.219699 363.728408
   278	1 2.963482 698.526829 360.872703
   279	1 2.966728 669.089549 391.364945
   280	1 2.968285 626.822909 42.495905
   281	1 2.969666 657.302863 46.643660
   282	1 2.969724 651.351167 356.366941
   283	1 2.970118 686.889526 10.836875
   284	1 2.974466 675.166285 130.677925
   285	1 2.976799 693.480414 253.744701
   286	1 2.978784 728.696954 368.720263
   287	1 2.979069 621.030216 90.750703
   288	1 2.987711 603.160299 30.598076
   289	1 2.988266 711.418701 194.356465
   290	1 2.995501 735.119996 309.300743
   291	1 2.996497 716.953931 267.952128
   292	1 3.001435 705.379462 44.775475
   293	1 3.001739 686.625549 382.992410
   294	1 3.002827 674.660807 114.573798
   295	1 3.006312 716.638893 135.321116
   296	1 3.006312 716.640690 125.116966
   297	1 3.008755 620.969566 260.767372
   298	1 3.008755 621.149362 249.405142
   299	1 3.010797 602.889625 369.832832
   300	1 3.011410 699.054772 245.875044
   301	1 3.013422 632.806389 341.772073
   302	1 3.017469 633.285303 390.219849
   303	1 3.017911 717.360611 48.685027
   304	1 3.023582 644.504959 224.002561
   305	1 3.024738 716.972133 328.528946
   306	1 3.024738 717.093996 322.808404
   307	1 3.033086 686.933914 178.081422
   308	1 3.036301 650.819453 396.537417
   309	1 3.038369 609.119466 49.489858
   310	1 3.039355 650.814952 45.190235
   311	1 3.045391 681.002895 152.629350
   312	1 3.046257 675.246517 64.671562
   313	1 3.050718 746.709567 196.135875
   314	1 3.051379 722.803661 17.258815
   315	1 3.051379 723.454311 28.621045
   316	1 3.051416 704.836752 374.938913
   317	1 3.052940 662.826619 152.867319
   318	1 3.052940 662.887441 163.071469
   319	1 3.053176 740.587061 14.734060
   320	1 3.055006 716.905886 95.041810
   321	1 3.055962 620.623709 177.690225
   322	1 3.057920 675.141021 276.424395
   323	1 3.061333 627.282295 35.007278
   324	1 3.070645 747.150668 43.552799
   325	1 3.071014 651.313270 93.495459
   326	1 3.071894 692.737863 373.194836
   327	1 3.072358 698.788721 371.031901
   328	1 3.072945 621.494269 107.872901
   329	1 3.075966 632.742030 378.090902
   330	1 3.075966 633.139608 369.360132
   331	1 3.080605 608.612025 4.420207
   332	1 3.080605 609.250278 25.897903
   333	1 3.080605 609.447515 15.159055
   334	1 3.081786 735.093267 15.451821
   335	1 3.082013 668.558448 197.264591
   336	1 3.085384 740.574815 221.821755
   337	1 3.085536 614.715541 265.889775
   338	1 3.085536 615.275458 277.252005
   339	1 3.087202 656.726469 282.189341
   340	1 3.089364 692.750865 190.875472
   341	1 3.090356 644.882438 369.426395
   342	1 3.090356 645.278775 375.146937
   343	1 3.091332 608.890260 85.984082
   344	1 3.092044 645.259504 185.138641
   345	1 3.095272 686.970007 242.974034
   346	1 3.100046 728.739891 263.275308
   347	1 3.102432 693.402359 58.380302
   348	1 3.114036 693.056503 286.289060
   349	1 3.115086 657.075767 359.540842
   350	1 3.116143 680.892056 395.409595
   351	1 3.119787 680.569365 123.577139
   352	1 3.122735 644.869792 158.906916
   353	1 3.123215 741.176736 139.440571
   354	1 3.123642 674.541685 377.657736
   355	1 3.131849 734.653736 274.516981
   356	1 3.131849 735.392006 280.237522
   357	1 3.135920 603.246048 326.047137
   358	1 3.139764 693.083975 387.742844
   359	1 3.140892 722.731126 385.563541
   360	1 3.140892 722.905688 379.842999
   361	1 3.143107 711.319237 251.213870
   362	1 3.143107 711.406825 241.682617
   363	1 3.144828 704.838776 388.005040
   364	1 3.150520 638.661226 106.293453
   365	1 3.157839 681.221733 314.398866
   366	1 3.162035 686.671345 201.212184
   367	1 3.169275 614.577538 207.558169
   368	1 3.171402 698.560218 306.584939
   369	1 3.171402 699.197958 300.864397
   370	1 3.171615 621.373023 198.875814
   371	1 3.172617 747.323899 115.685967
   372	1 3.172893 609.076918 32.580242
   373	1 3.183370 716.535563 369.645809
   374	1 3.184667 645.426648 195.700608
   375	1 3.184811 735.276301 245.576971
   376	1 3.186556 657.064611 173.102756
   377	1 3.187090 692.620202 177.120337
   378	1 3.192114 650.646793 112.784445
   379	1 3.193772 674.686345 267.154332
   380	1 3.194474 620.567439 5.730821
   381	1 3.195632 632.657431 139.659107
   382	1 3.196599 657.054616 35.031437
   383	1 3.196750 741.489154 64.473079
   384	1 3.200294 746.864757 331.443589
   385	1 3.200445 722.779949 331.421928
   386	1 3.203431 657.245721 202.588543
   387	1 3.205291 614.544063 9.958018
   388	1 3.205291 614.714901 15.678559
   389	1 3.209660 650.799887 224.731318
   390	1 3.211716 747.254031 89.550415
   391	1 3.217557 728.631488 306.252835
   392	1 3.225189 633.260967 87.143350
   393	1 3.226958 729.399896 147.677906
   394	1 3.227397 680.801706 259.591023
   395	1 3.227397 681.044713 265.311565
   396	1 3.227397 681.088110 276.438480
   397	1 3.229207 722.914847 132.150217
   398	1 3.240624 657.479172 336.929103
   399	1 3.243391 717.367977 237.260565
   400	1 3.243660 621.430935 285.714549
   401	1 3.246569 693.473559 322.260302
   402	1 3.248149 687.174510 195.313942
